Patient,Arrival_Time,Wait_Time,Service_Start_Time,Service_Time,Service_End_Time,Relapse1,Relapse2,Relapse3,Relapse4,Relapse5,Relapse6,Relapse7,Relapse8,Relapse9,Relapse10
1,2,0,2,3,5,1,0,0,0,0,0,0,0,0,0
2,11,0,11,3,14,0,0,0,0,0,0,0,0,0,0
3,23,0,23,3,26,0,0,0,0,0,0,0,0,0,0
4,33,0,33,3,36,1,0,0,0,0,0,0,0,0,0
5,37,0,37,3,40,0,0,0,0,0,0,0,0,0,0
6,46,0,46,3,49,0,0,0,0,0,0,0,0,0,0
7,52,0,52,3,55,0,0,0,0,0,0,0,0,0,0
8,56,0,56,3,59,1,0,0,0,0,0,0,0,0,0
9,60,0,60,3,63,1,0,0,0,0,0,0,0,0,0
10,64,0,64,3,67,0,0,0,0,0,0,0,0,0,0
11,67,0,67,3,70,0,0,0,0,0,0,0,0,0,0
12,69,1,70,3,73,1,0,0,0,0,0,0,0,0,0
13,74,0,74,3,77,0,0,0,0,0,0,0,0,0,0
14,79,0,79,3,82,1,0,0,0,0,0,0,0,0,0
15,82,0,82,3,85,0,0,0,0,0,0,0,0,0,0
16,89,0,89,3,92,0,0,0,0,0,0,0,0,0,0
17,93,0,93,3,96,0,0,0,0,0,0,0,0,0,0
18,96,0,96,3,99,1,0,0,0,0,0,0,0,0,0
19,102,0,102,3,105,1,1,1,0,0,0,0,0,0,0
20,110,0,110,3,113,0,0,0,0,0,0,0,0,0,0
21,118,0,118,3,121,0,0,0,0,0,0,0,0,0,0
22,121,0,121,3,124,0,0,0,0,0,0,0,0,0,0
23,128,0,128,3,131,0,0,0,0,0,0,0,0,0,0
24,137,0,137,3,140,0,0,0,0,0,0,0,0,0,0
25,147,0,147,3,150,0,0,0,0,0,0,0,0,0,0
26,150,0,150,3,153,0,0,0,0,0,0,0,0,0,0
27,154,0,154,3,157,1,1,1,0,0,0,0,0,0,0
28,162,0,162,3,165,0,0,0,0,0,0,0,0,0,0
29,170,0,170,3,173,1,0,0,0,0,0,0,0,0,0
30,175,0,175,3,178,0,0,0,0,0,0,0,0,0,0
31,180,0,180,3,183,0,0,0,0,0,0,0,0,0,0
32,185,0,185,3,188,0,0,0,0,0,0,0,0,0,0
33,190,0,190,3,193,1,0,0,0,0,0,0,0,0,0
34,197,0,197,3,200,1,0,0,0,0,0,0,0,0,0
35,203,0,203,3,206,0,0,0,0,0,0,0,0,0,0
36,209,0,209,3,212,0,0,0,0,0,0,0,0,0,0
37,210,2,212,3,215,1,1,0,0,0,0,0,0,0,0
38,211,4,215,3,218,1,0,0,0,0,0,0,0,0,0
39,215,3,218,3,221,0,0,0,0,0,0,0,0,0,0
40,220,1,221,3,224,0,0,0,0,0,0,0,0,0,0
41,224,0,224,3,227,1,0,0,0,0,0,0,0,0,0
42,227,0,227,3,230,0,0,0,0,0,0,0,0,0,0
43,228,2,230,3,233,0,0,0,0,0,0,0,0,0,0
44,233,0,233,3,236,1,1,1,0,0,0,0,0,0,0
45,236,0,236,3,239,1,1,1,0,0,0,0,0,0,0
46,239,0,239,3,242,1,0,0,0,0,0,0,0,0,0
47,243,0,243,3,246,0,0,0,0,0,0,0,0,0,0
48,247,0,247,3,250,0,0,0,0,0,0,0,0,0,0
49,250,0,250,3,253,0,0,0,0,0,0,0,0,0,0
50,255,0,255,3,258,0,0,0,0,0,0,0,0,0,0
51,260,0,260,3,263,1,1,1,0,0,0,0,0,0,0
52,267,0,267,3,270,0,0,0,0,0,0,0,0,0,0
53,271,0,271,3,274,0,0,0,0,0,0,0,0,0,0
54,272,2,274,3,277,0,0,0,0,0,0,0,0,0,0
55,278,0,278,3,281,0,0,0,0,0,0,0,0,0,0
56,278,3,281,3,284,1,0,0,0,0,0,0,0,0,0
57,281,3,284,3,287,0,0,0,0,0,0,0,0,0,0
58,283,4,287,3,290,0,0,0,0,0,0,0,0,0,0
59,285,5,290,3,293,0,0,0,0,0,0,0,0,0,0
60,289,4,293,3,296,0,0,0,0,0,0,0,0,0,0
61,291,5,296,3,299,0,0,0,0,0,0,0,0,0,0
62,292,7,299,3,302,0,0,0,0,0,0,0,0,0,0
63,302,0,302,3,305,1,1,0,0,0,0,0,0,0,0
64,307,0,307,3,310,1,0,0,0,0,0,0,0,0,0
65,310,0,310,3,313,0,0,0,0,0,0,0,0,0,0
66,313,0,313,3,316,0,0,0,0,0,0,0,0,0,0
67,318,0,318,3,321,0,0,0,0,0,0,0,0,0,0
68,322,0,322,3,325,0,0,0,0,0,0,0,0,0,0
69,326,0,326,3,329,1,0,0,0,0,0,0,0,0,0
70,331,0,331,3,334,0,0,0,0,0,0,0,0,0,0
71,337,0,337,3,340,0,0,0,0,0,0,0,0,0,0
72,339,1,340,3,343,0,0,0,0,0,0,0,0,0,0
73,343,0,343,3,346,0,0,0,0,0,0,0,0,0,0
74,348,0,348,3,351,0,0,0,0,0,0,0,0,0,0
75,352,0,352,3,355,1,0,0,0,0,0,0,0,0,0
76,359,0,359,3,362,1,0,0,0,0,0,0,0,0,0
77,364,0,364,3,367,1,1,0,0,0,0,0,0,0,0
78,369,0,369,3,372,0,0,0,0,0,0,0,0,0,0
79,374,0,374,3,377,0,0,0,0,0,0,0,0,0,0
80,375,2,377,3,380,0,0,0,0,0,0,0,0,0,0
81,383,0,383,3,386,0,0,0,0,0,0,0,0,0,0
82,388,0,388,3,391,1,1,1,1,0,0,0,0,0,0
83,390,1,391,3,394,1,1,0,0,0,0,0,0,0,0
84,394,0,394,3,397,0,0,0,0,0,0,0,0,0,0
85,396,1,397,3,400,0,0,0,0,0,0,0,0,0,0
86,402,0,402,3,405,0,0,0,0,0,0,0,0,0,0
87,404,1,405,3,408,0,0,0,0,0,0,0,0,0,0
88,411,0,411,3,414,0,0,0,0,0,0,0,0,0,0
89,414,0,414,3,417,0,0,0,0,0,0,0,0,0,0
90,417,0,417,3,420,0,0,0,0,0,0,0,0,0,0
91,421,0,421,3,424,0,0,0,0,0,0,0,0,0,0
92,427,0,427,3,430,0,0,0,0,0,0,0,0,0,0
93,436,0,436,3,439,1,1,0,0,0,0,0,0,0,0
94,441,0,441,3,444,0,0,0,0,0,0,0,0,0,0
95,447,0,447,3,450,0,0,0,0,0,0,0,0,0,0
96,453,0,453,3,456,0,0,0,0,0,0,0,0,0,0
97,460,0,460,3,463,1,0,0,0,0,0,0,0,0,0
98,461,2,463,3,466,0,0,0,0,0,0,0,0,0,0
99,465,1,466,3,469,0,0,0,0,0,0,0,0,0,0
100,469,0,469,3,472,0,0,0,0,0,0,0,0,0,0
101,475,0,475,3,478,0,0,0,0,0,0,0,0,0,0
102,477,1,478,3,481,0,0,0,0,0,0,0,0,0,0
103,477,4,481,3,484,0,0,0,0,0,0,0,0,0,0
104,483,1,484,3,487,1,0,0,0,0,0,0,0,0,0
105,493,0,493,3,496,0,0,0,0,0,0,0,0,0,0
106,498,0,498,3,501,1,0,0,0,0,0,0,0,0,0
107,505,0,505,3,508,1,0,0,0,0,0,0,0,0,0
108,508,0,508,3,511,1,0,0,0,0,0,0,0,0,0
109,514,0,514,3,517,0,0,0,0,0,0,0,0,0,0
110,524,0,524,3,527,0,0,0,0,0,0,0,0,0,0
111,529,0,529,3,532,1,1,1,0,0,0,0,0,0,0
112,534,0,534,3,537,0,0,0,0,0,0,0,0,0,0
113,541,0,541,3,544,0,0,0,0,0,0,0,0,0,0
114,544,0,544,3,547,1,0,0,0,0,0,0,0,0,0
115,549,0,549,3,552,0,0,0,0,0,0,0,0,0,0
116,553,0,553,3,556,1,1,0,0,0,0,0,0,0,0
117,561,0,561,3,564,0,0,0,0,0,0,0,0,0,0
118,565,0,565,3,568,0,0,0,0,0,0,0,0,0,0
119,569,0,569,3,572,0,0,0,0,0,0,0,0,0,0
120,573,0,573,3,576,0,0,0,0,0,0,0,0,0,0
121,579,0,579,3,582,0,0,0,0,0,0,0,0,0,0
122,582,0,582,3,585,0,0,0,0,0,0,0,0,0,0
123,585,0,585,3,588,1,0,0,0,0,0,0,0,0,0
124,591,0,591,3,594,1,0,0,0,0,0,0,0,0,0
125,598,0,598,3,601,1,0,0,0,0,0,0,0,0,0
126,603,0,603,3,606,0,0,0,0,0,0,0,0,0,0
127,613,0,613,3,616,1,0,0,0,0,0,0,0,0,0
128,619,0,619,3,622,1,0,0,0,0,0,0,0,0,0
129,627,0,627,3,630,1,0,0,0,0,0,0,0,0,0
