Patient,Arrival_Time,Wait_Time,Service_Start_Time,Service_Time,Service_End_Time,Queue_Length
1,2,0,2,3,5,0
1,5,0,5,3,8,0
2,11,0,11,3,14,0
3,23,0,23,3,26,0
4,33,0,33,3,36,0
4,36,0,36,3,39,0
5,37,2,39,3,42,1
6,46,0,46,3,49,0
7,52,0,52,3,55,0
8,56,0,56,3,59,0
8,59,0,59,3,62,0
9,60,2,62,3,65,1
10,64,1,65,3,68,1
9,65,3,68,3,71,1
11,67,4,71,3,74,2
12,69,5,74,3,77,2
13,74,3,77,3,80,1
12,77,3,80,3,83,1
14,79,4,83,3,86,2
15,82,4,86,3,89,2
14,86,3,89,3,92,1
16,89,3,92,3,95,1
17,93,2,95,3,98,1
18,96,2,98,3,101,1
18,101,0,101,3,104,0
19,102,2,104,3,107,1
19,107,0,107,3,110,0
19,110,0,110,3,113,0
20,110,3,113,3,116,1
19,113,3,116,3,119,1
21,118,1,119,3,122,1
22,121,1,122,3,125,1
23,128,0,128,3,131,0
24,137,0,137,3,140,0
25,147,0,147,3,150,0
26,150,0,150,3,153,0
27,154,0,154,3,157,0
27,157,0,157,3,160,0
27,160,0,160,3,163,0
28,162,1,163,3,166,1
27,163,3,166,3,169,1
29,170,0,170,3,173,0
29,173,0,173,3,176,0
30,175,1,176,3,179,1
31,180,0,180,3,183,0
32,185,0,185,3,188,0
33,190,0,190,3,193,0
33,193,0,193,3,196,0
34,197,0,197,3,200,0
34,200,0,200,3,203,0
35,203,0,203,3,206,0
36,209,0,209,3,212,0
37,210,2,212,3,215,1
38,211,4,215,3,218,2
37,215,3,218,3,221,1
39,215,6,221,3,224,2
37,218,6,224,3,227,2
40,220,7,227,3,230,3
38,224,6,230,3,233,2
41,224,9,233,3,236,3
42,227,9,236,3,239,3
43,228,11,239,3,242,4
44,233,9,242,3,245,3
41,236,9,245,3,248,3
45,236,12,248,3,251,4
46,239,12,251,3,254,4
47,243,11,254,3,257,4
48,247,10,257,3,260,4
44,248,12,260,3,263,4
49,250,13,263,3,266,5
44,251,15,266,3,269,5
44,254,15,269,3,272,5
50,255,17,272,3,275,6
45,260,15,275,3,278,5
51,260,18,278,3,281,6
45,263,18,281,3,284,6
45,266,18,284,3,287,6
52,267,20,287,3,290,7
53,271,19,290,3,293,7
46,272,21,293,3,296,7
54,272,24,296,3,299,8
55,278,21,299,3,302,7
56,278,24,302,3,305,8
57,281,24,305,3,308,8
58,283,25,308,3,311,9
59,285,26,311,3,314,9
60,289,25,314,3,317,9
51,290,27,317,3,320,9
61,291,29,320,3,323,10
62,292,31,323,3,326,11
51,293,33,326,3,329,11
51,296,33,329,3,332,11
63,302,30,332,3,335,10
64,307,28,335,3,338,10
65,310,28,338,3,341,10
66,313,28,341,3,344,10
56,314,30,344,3,347,10
67,318,29,347,3,350,10
68,322,28,350,3,353,10
69,326,27,353,3,356,9
70,331,25,356,3,359,9
71,337,22,359,3,362,8
63,338,24,362,3,365,8
72,339,26,365,3,368,9
63,341,27,368,3,371,9
73,343,28,371,3,374,10
64,347,27,374,3,377,9
74,348,29,377,3,380,10
75,352,28,380,3,383,10
76,359,24,383,3,386,8
77,364,22,386,3,389,8
69,365,24,389,3,392,8
78,369,23,392,3,395,8
79,374,21,395,3,398,7
80,375,23,398,3,401,8
81,383,18,401,3,404,6
75,386,18,404,3,407,6
82,388,19,407,3,410,7
83,390,20,410,3,413,7
76,392,21,413,3,416,7
84,394,22,416,3,419,8
85,396,23,419,3,422,8
77,398,24,422,3,425,8
77,401,24,425,3,428,8
86,402,26,428,3,431,9
87,404,27,431,3,434,9
88,411,23,434,3,437,8
89,414,23,437,3,440,8
90,417,23,440,3,443,8
82,419,24,443,3,446,8
91,421,25,446,3,449,9
82,422,27,449,3,452,9
82,425,27,452,3,455,9
92,427,28,455,3,458,10
82,428,30,458,3,461,10
83,434,27,461,3,464,9
93,436,28,464,3,467,10
83,437,30,467,3,470,10
94,441,29,470,3,473,10
95,447,26,473,3,476,9
96,453,23,476,3,479,8
97,460,19,479,3,482,7
98,461,21,482,3,485,7
99,465,20,485,3,488,7
100,469,19,488,3,491,7
93,470,21,491,3,494,7
93,473,21,494,3,497,7
101,475,22,497,3,500,8
102,477,23,500,3,503,8
103,477,26,503,3,506,9
104,483,23,506,3,509,8
97,488,21,509,3,512,7
105,493,19,512,3,515,7
106,498,17,515,3,518,6
107,505,13,518,3,521,5
108,508,13,521,3,524,5
104,512,12,524,3,527,4
109,514,13,527,3,530,5
106,521,9,530,3,533,3
110,524,9,533,3,536,3
107,527,9,536,3,539,3
111,529,10,539,3,542,4
108,533,9,542,3,545,3
112,534,11,545,3,548,4
113,541,7,548,3,551,3
114,544,7,551,3,554,3
111,545,9,554,3,557,3
111,548,9,557,3,560,3
115,549,11,560,3,563,4
111,551,12,563,3,566,4
116,553,13,566,3,569,5
117,561,8,569,3,572,3
114,563,9,572,3,575,3
118,565,10,575,3,578,4
119,569,9,578,3,581,3
116,572,9,581,3,584,3
120,573,11,584,3,587,4
116,575,12,587,3,590,4
121,579,11,590,3,593,4
122,582,11,593,3,596,4
123,585,11,596,3,599,4
124,591,8,599,3,602,3
125,598,4,602,3,605,2
123,599,6,605,3,608,2
126,603,5,608,3,611,2
124,605,6,611,3,614,2
125,611,3,614,3,617,1
127,613,4,617,3,620,2
128,619,1,620,3,623,1
127,620,3,623,3,626,1
128,626,0,626,3,629,0
129,627,2,629,3,632,1
130,631,1,632,3,635,1
129,632,3,635,3,638,1
131,635,3,638,3,641,1
132,638,3,641,3,644,1
133,644,0,644,3,647,0
134,649,0,649,3,652,0
135,656,0,656,3,659,0
136,658,1,659,3,662,1
137,661,1,662,3,665,1
136,662,3,665,3,668,1
136,665,3,668,3,671,1
138,667,4,671,3,674,2
139,673,1,674,3,677,1
138,674,3,677,3,680,1
139,680,0,680,3,683,0
140,683,0,683,3,686,0
141,692,0,692,3,695,0
142,696,0,696,3,699,0
142,699,0,699,3,702,0
143,699,3,702,3,705,1
144,701,4,705,3,708,2
145,709,0,709,3,712,0
146,715,0,715,3,718,0
146,718,0,718,3,721,0
147,722,0,722,3,725,0
148,730,0,730,3,733,0
149,739,0,739,3,742,0
149,742,0,742,3,745,0
150,745,0,745,3,748,0
151,750,0,750,3,753,0
151,753,0,753,3,756,0
152,754,2,756,3,759,1
153,759,0,759,3,762,0
153,762,0,762,3,765,0
154,767,0,767,3,770,0
155,778,0,778,3,781,0
156,784,0,784,3,787,0
156,787,0,787,3,790,0
157,795,0,795,3,798,0
158,798,0,798,3,801,0
159,803,0,803,3,806,0
159,806,0,806,3,809,0
160,809,0,809,3,812,0
160,812,0,812,3,815,0
161,814,1,815,3,818,1
162,818,0,818,3,821,0
163,824,0,824,3,827,0
164,829,0,829,3,832,0
165,836,0,836,3,839,0
165,839,0,839,3,842,0
166,839,3,842,3,845,1
167,844,1,845,3,848,1
166,845,3,848,3,851,1
168,852,0,852,3,855,0
168,855,0,855,3,858,0
169,856,2,858,3,861,1
170,865,0,865,3,868,0
171,869,0,869,3,872,0
172,876,0,876,3,879,0
173,880,0,880,3,883,0
174,882,1,883,3,886,1
173,883,3,886,3,889,1
173,886,3,889,3,892,1
175,888,4,892,3,895,2
176,891,4,895,3,898,2
177,896,2,898,3,901,1
177,901,0,901,3,904,0
178,902,2,904,3,907,1
179,906,1,907,3,910,1
